text,label
Не удовлетворись.,1
Она не конфузилась.,0
Она не просияла!,4
Она не прискучивала.,0
Она тяготила.,1
Она не балдела.,1
Изумляй?,2
Она не вознегодовала!,4
Она не страшилась?,2
Она не топала!,4
Она не поражала.,1
Не проклинай?,2
Убойся.,1
Она помучилась?,4
Она переживала?,2
Она злилась?,3
Обозлись?,4
Она не смеялась!,4
Возмущайся.,1
Она развлекалась.,0
Она не терпела!,4
Веселись.,0
Она не повеселела.,1
Она не ободрилась.,1
Она перевернула!,0
Она не настрадалась.,4
Она не унывала!,0
Она не надеялась!,1
Она не разволновала!,0
Не измучься?,2
Не заскучай!,0
Она не печалилась!,0
Не презирай?,2
Не блаженствуй.,1
Она не нервничала?,2
Кручинься?,2
Насмехайся.,4
Раздразни?,2
Она не гневила!,2
Раздражай!,4
Нервничай.,2
Она не промаялась?,2
Она не утомляла.,0
Она переволновалась!,0
Она разволновала!,0
Не вдохновляйся?,2
Изнури?,2
Пьяней?,2
Не надейся?,1
Обалдей!,2
Она не сердилась.,0
Не захандри!,0
Не раздразни!,0
Она не обидела.,0
Освежайся!,0
Она бесилась!,4
Рыдай.,1
Сердись!,4
Не обомри?,2
Она не обожглась!,0
Взорви?,2
Она освежала.,0
Расстройся!,1
Она не загрустила?,2
Она не разобиделась.,0
Не замучься!,4
Не развлекайся!,1
Не побойся.,0
Ошеломи.,2
Она не прогневалась!,0
Не обрадуй.,1
Не наскучивай!,0
Она гневила!,4
Она не вымотала.,0
Не выматывай?,2
Она не устрашилась?,2
Не оплачь.,0
Не фыркай?,2
Переутомляй!,0
Насыться!,0
Истоскуйся.,1
Не поволнуйся?,2
Она не посмеивалась.,1
Она огорчалась?,1
Окрылись?,2
Она не сторонилась!,0
Не негодуй?,4
Она не серчала?,3
Она не презирала!,0
Не раздосадуй!,4
Скорби?,1
Она порадовалась.,0
Обозлись!,4
Поплачь?,1
Не соскучься.,0
Она не надоела?,4
Она не серчала!,0
Она омрачалась?,1
Она дрожала?,3
Она натерпелась?,2
Развеселись?,0
Она растревожила?,2
Не устрашай.,1
Надуйся!,4
Не проплачь?,2
Рассерди!,4
Не угрожай.,4
Утомляй!,4
Исстрадайся!,1
Томись.,4
Льсти?,2
Она не удивилась!,4
Она не измочалила!,4
Не насыться!,4
Не бойся.,0
Она обмирала!,1
Она не беспокоилась!,4
Она не никла?,2
Она затосковала?,1
Она злила!,4
Она не травмировала?,2
Она невзлюбила?,2
Подавляй?,2
Измучься!,4
Она не пугнула?,2
Не труси.,4
Она изматывалась.,1
Не измотайся.,4
Не восторгайся.,1
Не дрейфи.,0
Не исстрадайся.,0
Не заскучай?,2
Она воспрянула!,0
Домучься!,1
Она возрадовалась.,0
Развлекайся?,2
Погневайся.,4
Она сокрушалась?,2
Она страшилась.,3
Она не злилась?,2
Она не обожглась?,3
Не смущайся!,0
Она опупела.,2
Она не воскресала!,2
Она не удивилась?,2
Приунывай!,1
Она заинтересовала!,0
Она отчаивалась.,1
Не достань!,4
Не процветай?,2
Удовлетворяйся!,0
Заледеней?,2
Она ужасала?,3
Она обиделась?,1
Повеселись!,0
Она нарадовалась?,0
Она не вдохновлялась?,1
Она уважала!,0
Она любовалась.,0
Поволнуйся?,3
Разволнуй.,3
Она злобствовала?,4
Не серди?,4
Сожалей?,2
Не порази?,2
Не мучься?,1
Она печалила.,1
Она не забоялась?,2
Не радуй.,1
Растревожь!,3
Гнети?,2
Она опостылела.,4
Она не развеселилась?,1
Она злила?,4
Не удивляй?,2
Не терзайся!,0
Не ликуй.,1
Не насыщайся!,1
Услаждайся.,0
Она сердила.,4
Она расстраивалась.,1
Расстрой?,1
Она беспокоила.,3
Она не конфузилась!,0
Надейся?,1
Не пугни!,3
Она пошутила.,0
Не пошути.,1
Она разнервничалась?,2
Она не невзлюбила.,4
Заволнуйся?,3
Не озлобь?,2
Балдей!,0
Она не возмутила!,4
Она не возликовала?,2
Заволнуйся.,3
Она нервничала?,2
Она не ранила!,4
Она обалдевала.,0
Она не помучилась?,1
Она дивила.,2
Угрожай?,4
Она не запугивала!,4
Она не любовалась?,1
Не позли!,4
Умайся!,4
Осердись.,4
Побаивайся!,3
Не обозлись.,3
Не скисай.,0
Она утомила!,4
Она ослепила!,0
Она изматывала?,2
Она интересовалась?,2
Она гневила?,4
Не погневайся?,3
Рассерчай.,4
Она повеселилась.,0
Не шантажируй.,4
Не пьяней?,2
Пугани.,3
Изнури.,1
Она не бесила?,4
Она огорчала.,1
Подавляй.,4
Взвой.,1
Не устрашись!,0
Она не удручила.,0
Опупей.,3
Надуйся?,1
Хмурься.,1
Развлеки!,0
Не возмутись?,2
Она грустила.,1
Не посмеивайся.,1
Она печалила!,1
Она ободрялась.,0
Она не окрылилась?,2
Она раздражалась.,4
Не сдрейфи?,2
Она не извелась!,4
Угрюмей.,1
Трясись!,3
Не приободрись.,1
Она не раздосадовалась!,0
Не перетревожь!,4
Не опечаль!,0
Воскресни!,0
Не обижайся?,4
Ободрись!,0
Она оживила?,2
Она не развеселилась!,1
Она освежалась.,0
Она веселилась!,0
Она не наскучивала!,0
Она утомилась.,1
Измайся!,1
Сожалей!,1
Не загрусти.,0
Она не омрачила?,2
Не смутись!,0
Она не томилась.,0
Поражайся?,2
Она не повеселела?,1
Она просияла!,0
Не невзлюби?,2
Не понравься.,1
Недоумевай!,4
Майся.,1
Недолюбливай!,4
Она не развеселила!,1
Удивляй!,2
Ободряйся!,0
Она удручала?,2
Она прогневалась?,4
Диви!,2
Не изматывайся!,0
Она изумила!,2
Не ужасайся?,2
Не рассмеши?,2
Она взбеленила?,2
Восхитись!,0
Перетрусь.,3
Она не измучилась?,2
Смейся.,0
Она осердилась.,4
Вдохновляйся!,0
Она измаялась?,1
Она озлоблялась.,4
Она хватила?,2
Она не удовольствовалась.,1
Она не страдала?,2
Она повеселела!,0
Она не возликовала.,1
Потрясай!,2
Она терзалась.,1
Дивись?,2
Она не окрылила.,1
Не удручи!,4
Она озлила?,4
Она не пошутила?,2
Она сокрушила?,2
Потряси!,2
Не прискучивай!,4
Обозли!,4
Она встряхнулась?,2
Скисни!,1
Обидься?,1
Окрыли.,0
Она заволновалась?,3
Не нарадуйся.,0
Она не встряхнулась?,2
Не сконфузься?,2
Она огорчала?,1
Поражай?,2
Она тряслась.,3
Она не позабавилась.,1
Приободрись?,2
Подбодрись.,0
Она рыдала.,1
Не недолюбливай!,4
Она пригорюнилась!,1
Покайся!,4
Она не маялась.,1
Не восхищайся?,2
Она ужасалась!,3
Развесели.,0
Не помрачись!,0
Не натерпись!,0
Не печалься!,0
Она не возрыдала!,0
Она волновалась.,3
Она обиделась.,1
Она перенервничала?,3
Не разобидься?,2
Она освежала!,0
Она взволновала.,3
Она не никла!,0
Она не насыщалась?,2
Она тревожила.,3
Она осерчала?,4
Она устрашала!,3
Она озлоблялась?,4
Она умаяла!,1
Захандри?,1
Обеспокойся!,3
Не умаивай.,4
Не раздражись!,3
Не удручи.,0
Она прослезилась?,1
Она жгла.,0
Испугай?,2
Не затрави!,4
Она изныла!,1
Она тревожила?,3
Она не терроризировала!,4
Не хвати!,4
Отпугивай.,3
Она прогневала.,4
Выстрадай!,1
Она дулась.,1
Бесись!,4
Она возликовала.,0
Не зли!,3
Ужасайся?,3
Она ненавидела.,4
Не намучься?,2
Она не привязывалась?,2
Она развлеклась.,0
Она не восхищалась.,1
Она измочаливала?,1
Она терпела!,4
Она не забоялась.,0
Она закручинилась!,1
Она не заледенела?,2
Удивляйся?,2
Она наслаждалась.,0
Не возрыдай.,0
Она возмущала!,4
Не раздражай.,4
Она не сохла?,2
Она сожалела.,1
Возненавидь.,4
Не терроризируй!,4
Огорчайся!,1
Она не ободрялась.,1
Не плачь!,0
Посмеивайся.,0
Она не вдохновлялась.,1
Разревись?,1
Она озлобилась!,4
Она озлилась.,1
Она встревожила.,3
Не прогневай?,2
Она не светилась.,1
Она помрачала!,1
Умайся.,1
Она злобствовала!,4
Не разъяри.,3
Восторгайся!,0
Она не помрачилась.,0
Она надоедала?,4
Возрыдай?,1
Гнети!,4
Она удовлетворилась!,0
Она гордилась.,0
Изумись.,0
Она не ликовала?,1
Не уважай?,4
Измочаливай?,4
Она тужила.,1
Она омрачала.,1
Она томилась!,1
Она не перетревожила?,3
Изнуряй.,1
Не разозли.,3
Она не утомила?,2
Она не перенервничала?,2
Не свирепей?,2
Восторгайся.,0
Не взбелени?,2
Отчайся?,1
Не бесись!,4
Она опасалась!,3
Не вознегодуй?,3
Она терзалась!,1
Не изнывай!,0
Она устрашилась!,3
Она не предвкушала!,1
Не взбодрись.,1
Не обеспокойся!,0
Она развлекалась!,0
Подшучивай?,0
Промайся!,1
Она умаяла.,1
Она не хватила?,2
Она доставала.,4
Не разгневайся.,3
Надивись?,2
Она не изныла!,0
Не нервируй.,4
Она не изнемогла?,2
Не взбелени.,3
Она отчаивалась?,1
Она не взбеленилась!,2
Она утомлялась?,1
Она порадовала!,0
Она разъярила.,4
Погорюй!,1
Она встряхнулась!,0
Она преследовала?,4
Не терроризируй?,4
Она злобилась!,4
Она не колола!,4
Изводись.,1
Она не испугалась.,0
Она не порадовала.,1
Не скучай!,0
Вдохновляйся.,0
Она не озлоблялась?,2
Разочаруйся.,1
Веселись?,0
Оплачь?,1
Она не торжествовала!,1
Не изумляйся?,2
Она измочалила!,4
Повеселей.,0
Испугай!,3
Не возвеселись.,1
Не повреди?,2
Она не повредила.,0
Не озли.,3
Она сломила?,1
Она тревожилась?,3
Не устыдись!,0
Она не смущалась!,0
Раздражи.,4
Она изнуряла?,1
Изуми!,2
Она не разочаровала!,0
Люби.,0
Унывай!,1
Не услаждайся!,1
Она освежила.,0
Не разволнуй!,0
Она сокрушила!,4
Обрадуй!,0
Не удовлетворись?,1
Она застращала!,3
Она не тревожила?,2
Не привязывайся!,4
Дави?,4
Она угрюмела?,1
Она не взорвала.,1
Не расстраивай?,0
Она не выматывала?,2
Огорчи?,1
Не приободрись!,1
Не надоедай!,4
Она прогневала?,4
Она не взвыла!,0
Не стесняйся.,0
Она не терпела?,2
Не соскучься!,0
Она не дрейфила!,0
Скисай!,1
Она не восторгалась!,1
Она кручинилась!,1
Она трусила.,3
Опасайся.,3
Она не порадовала?,1
Она сникла.,1
Она не стыдилась.,0
Она никла!,1
Не дуйся?,2
Она стервенела.,4
Она не рассерчала!,0
Волнуй?,3
Не гордись?,1
Она не расстраивалась.,0
Не поверь!,2
Обожай?,0
Восхищайся.,0
Она не проплакала.,0
Надоешь?,2
Жалей.,1
Она не заскучала.,0
Взгрустни.,1
Она не побоялась!,0
Расстраивайся.,1
Она не колола?,2
Она ужаснула?,3
Она отчаялась!,0
Она рассердила?,1
Не пугай.,4
Она не погоревала.,0
Не гневи!,4
Изведись.,1
Она не разревелась!,2
Не обрадуйся?,1
Она удовлетворяла?,0
Она разочаровала?,1
Она серчала!,4
Она не огорчила!,0
Она боялась!,3
Она не прослезилась?,2
Она помрачилась.,1
Она не воскресила?,1
Обалдевай!,2
Не окрысься?,4
Она раздражила?,4
Не предвкушай.,1
Озлись?,4
Обозли?,4
Обозлись.,4
Она сдрейфила.,3
Она подшучивала?,2
Она прослезилась!,1
Не хихикай!,0
Она не воскресала.,1
Разъяри.,4
Не печаль?,2
Обомри?,2
Не кисни?,2
Она наскучивала.,1
Не взорви?,2
Истерзайся?,1
Она опечалила!,1
Она не переутомляла.,0
Она не соскучилась.,1
Она намыкалась?,4
Не ободряйся?,2
Она не разочаровалась?,2
Она озлоблялась!,0
Пьяней!,4
Глуши?,2
Ослепи!,4
Она не опечаливала!,0
Она рассердилась.,4
Она опечалилась?,1
Она не отпугивала?,2
Не оплакивай!,4
Она не льстила.,1
Смутись!,3
Не кручинься?,2
Изнемоги!,1
Не осточертей.,4
Она не пугнула!,2
Не мучь?,2
Помрачайся?,1
Ужасни.,3
Она не погневалась?,3
Она надулась!,1
Она точила?,2
Не воскресни?,2
Она не перепугала.,0
Тоскуй?,1
Перенервничай?,3
Изумляйся?,2
Озлись!,4
Она загоревала.,1
Не развлеки.,1
Она не опьянела!,4
Пугай?,3
Она не напугала?,2
Не развесели.,1
Не омрачись?,2
Она не изнурила!,0
Она не переживала!,0
Она помрачалась.,1
Она не плакала?,2
Она не поразила!,1
Она воскресла!,0
Она измаялась.,1
Она огорчалась.,1
Она не опасалась.,0
Она пугала.,3
Обалдевай.,2
Не изумляйся!,4
Она взбесилась!,4
Она злорадствовала!,4
Не приободряйся?,2
Она не раздосадовала!,0
Не страшись!,0
Она устрашилась?,3
Она не сокрушалась!,0
Огорчись.,1
Не ободрись!,1
Разочаруй!,1
Она не измотала?,2
Не смутись?,2
Не погрусти?,2
Не насмехайся.,1
Она не улыбалась?,1
Не измотайся!,4
Она струхнула?,3
Страдай?,1
Не рассмеши.,1
Она перетерпела!,0
Не омрачись!,0
Не злей!,0
Она не сосала!,4
Она разгневалась?,3
Истомись?,2
Закручинься!,1
Весели?,0
Она не порадовалась.,1
Она скучала?,2
Она дивилась.,2
Перетрусь?,3
Не воскрешай?,2
Она не стосковалась?,2
Мучься?,1
Не измучься!,4
Не напугай!,4
Она не тяготила?,2
Она возрадовалась?,2
Не посетуй?,2
Она не домучилась.,1
Она не процветала?,2
Намучься.,1
Она не подшучивала!,0
Не утомляй!,4
Она достала!,4
Она устрашила?,3
Она не злобилась.,0
Она промаялась?,2
Не переутомляй?,2
Она расстроила.,1
Она омрачилась?,1
Серчай!,4
Она не озлобляла?,2
Она изнервничалась!,3
Забойся?,2
Повеселись.,0
Она не пьянела?,2
Она утомлялась!,1
Она восхитилась?,0
Она не смела?,2
Она свирепела.,4
Она взволновалась?,3
Она не позлилась?,2
Она не вымотала!,4
Злей?,2
Она окрысилась!,4
Не печаль!,0
Подиви.,2
Она не сторонилась?,2
Она подбодрилась!,0
Удручай.,1
Она не взбесилась?,2
Она не преследовала!,4
Она порадовалась!,0
Взбодрись?,0
Восхищайся?,0
Она утомилась?,2
Она не глушила!,4
Утоми!,1
Она насладилась?,0
Она не захандрила.,0
Цвети.,0
Она не кручинилась?,2
Она не сожалела!,0
Взбодрись!,0
Она хмурилась.,1
Не обеспокой!,4
Она помучилась.,1
Не жалей?,4
Она не разревелась?,2
Она не кисла?,2
Мечтай?,0
Она страдала.,1
Рассмейся!,0
Помрачись?,1
Она не наскучивала.,0
Она перепугалась.,3
Не майся!,4
Сломись.,4
Блаженствуй.,0
Она выматывала?,1
Не воскресай!,4
Поощряй!,0
Она приободрялась.,0
Не развесели!,1
Настрадайся.,1
Она убила?,3
Она не измаялась!,4
Не смей.,4
Она сконфузилась?,2
Развесели?,0
Побаивайся.,3
Трясись?,3
Она не омрачилась.,0
Она не пригорюнилась.,0
Помрачись.,1
Страдай.,1
Она не затосковала?,2
Не взгрустни?,0
Она обмерла?,3
Не повреди.,3
Осерчай?,4
Не волнуйся!,0
Она веселилась.,0
Не убивай!,3
Она разозлила!,4
Не тоскуй.,0
Она покаялась!,0
Не заволнуйся.,0
Она обмирала?,2
Она не дрожала!,0
Остолбеней.,4
Она не омрачилась!,0
Встревожь!,3
Обрадуйся.,0
Она не предвкушала?,2
Она скисла.,1
Дави.,4
Не кисни!,0
Не стыдись?,2
Понервничай.,3
Не заледеней!,4
Она не проклинала!,0
Она не упилась!,4
Надоешь!,4
Она запугала!,3
Не обозлись!,4
Помрачи.,1
Не люби.,1
Терзайся.,1
Терроризируй!,4
Она не окрылила?,2
Она не удивила!,4
Опечаль.,1
Она восторгала.,0
Не порадуй!,1
Она утомляла?,2
Она не удивлялась!,4
Не помрачайся?,2
Не измочаливай?,2
Не удивляйся?,2
Не повеселись!,1
Раздосадуйся?,1
Не просияй?,2
Переволнуйся.,3
Беспокойся.,3
Она не соскучилась?,2
Она не освежала!,1
Не ненавидь!,3
Хмурься?,1
Она глушила?,2
Растревоживай!,3
Не утомляй.,4
Она рассердилась?,3
Воскресай!,0
Она устрашалась.,3
Она не ужасалась?,2
Рассвирепей!,4
Она освежалась?,0
Она не шантажировала?,2
Она тряслась?,3
Она хандрила!,1
Она не рассердила?,2
Она не вознегодовала?,2
Не хмурься.,0
Она отпугивала?,2
Не умай?,2
Она беспокоила?,2
Перепугай.,3
Она не злела!,4
Она не пугала!,0
Не сломи.,0
Не прискучь?,2
Не огорчай.,0
Скорби!,1
Не сникни!,0
Не настрадайся.,0
Она позлорадствовала?,4
Она не потрясала?,2
Она выстрадала.,1
Она плавала?,2
Она уважала?,2
Она мечтала?,2
Она не нервировала!,0
Она интересовалась.,0
Она дрожала.,3
Тревожь?,3
